business_id,sector,persona,years_in_business,data_history_months,annual_turnover_lakh,net_profit_margin,net_profit_lakh,employees,gst_return_flag,gst_ontime_rate,cashflow_volatility,bank_balance_monthly,bounce_rate,utility_kwh_year,utility_water_kl_year,utility_gas_year,promoter_age,promoter_cibil,promoter_income_lakh,outstanding_loans_rupee
MSME001,Paper & Packaging,established_stable,13.3,26,60.3,0.099,5.97,23,1,0.97,0.106,"[151805.0, 186198.0, 188315.0, 170353.0, 196387.0, 165794.0, 192605.0, 166390.0, 158327.0, 150230.0, 192154.0, 182567.0]",0.014,4032.0,519.0,2298.0,25,698.0,13.2,1347275.0
MSME002,Engineering Mfg.,established_declining,6.9,15,196.9,0.079,15.56,16,0,0.71,0.337,"[297962.0, 639573.0, 450323.0, 650855.0, 629737.0, 632343.0, 724072.0, 568781.0, 624589.0, 518850.0, 582216.0, 698787.0]",0.077,9336.0,429.0,7891.0,43,616.0,4.7,3948256.0
MSME003,Retail/Trade,thin_file_risky,1.1,13,175.0,0.178,31.15,29,0,0.43,0.402,"[238183.0, 303197.0, 620327.0, 568935.0, 690794.0, 435736.0, 532383.0, 592510.0, 398802.0, 538556.0, 349576.0, 442278.0]",0.096,1082.0,1250.0,0.0,29,615.0,5.3,3655682.0
MSME004,Plastics & Polymers,thin_file_risky,0.6,7,196.5,0.075,14.74,12,1,0.54,0.475,"[794417.0, 435785.0, 739496.0, 308122.0, 487598.0, 280198.0, 395830.0]",0.081,6312.0,233.0,11467.0,43,572.0,15.8,4471473.0
MSME005,Paper & Packaging,established_stable,10.5,22,262.5,0.063,16.54,57,0,0.92,0.072,"[600081.0, 662993.0, 671658.0, 701354.0, 629248.0, 684627.0, 590380.0, 488851.0, 469623.0, 498636.0, 521430.0, 589076.0]",0.017,12862.0,1703.0,9434.0,40,712.0,8.0,4100295.0
MSME006,Engineering Mfg.,thin_file_risky,0.0,2,270.9,0.077,20.86,60,1,0.67,0.465,"[718276.0, 1078084.0]",0.054,10458.0,2410.0,8330.0,42,,8.6,6743701.0
MSME007,IT/Services,established_declining,14.4,12,213.5,0.176,37.58,60,1,0.57,0.448,"[911342.0, 630025.0, 599454.0, 744743.0, 1053472.0, 711538.0, 503805.0, 875251.0, 672344.0, 952931.0, 640683.0, 291139.0]",0.106,979.0,327.0,0.0,29,621.0,12.0,5601570.0
MSME008,Iron & Steel,thin_file_good,0.5,6,292.1,0.075,21.91,26,1,0.96,0.118,"[726052.0, 697077.0, 686930.0, 721793.0, 749398.0, 811029.0]",0.002,14118.0,320.0,21955.0,55,739.0,7.5,4281462.0
MSME009,Iron & Steel,established_stable,6.4,33,35.0,0.078,2.73,11,1,0.91,0.195,"[72942.0, 89662.0, 72045.0, 91678.0, 109127.0, 121987.0, 79584.0, 75603.0, 47846.0, 78624.0, 66545.0, 80802.0]",0.02,1769.0,125.0,2872.0,53,734.0,6.7,248495.0
MSME010,IT/Services,established_stable,12.8,6,50.2,0.209,10.49,4,1,0.86,0.188,"[116625.0, 129976.0, 102699.0, 133071.0, 128495.0, 132739.0]",0.02,429.0,32.0,0.0,37,718.0,10.6,1317757.0
MSME011,Electronics,established_declining,5.2,10,116.8,0.083,9.69,25,1,0.54,0.27,"[312715.0, 362279.0, 182168.0, 447784.0, 403583.0, 244660.0, 289810.0, 336186.0, 305882.0, 277282.0]",0.081,4308.0,218.0,2503.0,53,655.0,8.8,2241030.0
MSME012,Textile Garments,thin_file_good,0.2,2,136.7,0.089,12.17,26,1,0.92,0.119,"[394621.0, 390828.0]",0.011,3882.0,1726.0,3394.0,52,,12.8,3298811.0
MSME013,Leather Goods,established_stable,6.5,27,99.7,0.135,13.46,43,1,0.93,0.159,"[186949.0, 260909.0, 221975.0, 250765.0, 327775.0, 272551.0, 201390.0, 173023.0, 191962.0, 148096.0, 165248.0, 203161.0]",0.014,2630.0,1388.0,2563.0,41,771.0,15.0,1472030.0
MSME014,Plastics & Polymers,established_stable,14.2,6,68.6,0.056,3.84,23,1,0.99,0.1,"[175520.0, 194065.0, 185982.0, 209206.0, 210566.0, 216500.0]",0.011,2575.0,382.0,3710.0,48,746.0,17.0,1605860.0
MSME015,Food Processing,thin_file_risky,1.5,18,286.3,0.079,22.62,60,1,0.65,0.472,"[1158161.0, 183901.0, 318243.0, 189537.0, 467513.0, 842467.0, 793898.0, 652568.0, 177415.0, -46098.0, 525189.0, 414943.0]",0.15,11872.0,6366.0,10913.0,46,634.0,4.4,7704620.0
MSME016,Engineering Mfg.,thin_file_good,0.4,4,237.5,0.08,19.0,60,1,0.97,0.055,"[551412.0, 592285.0, 596878.0, 677855.0]",0.015,12291.0,1265.0,5731.0,47,,15.6,286078.0
MSME017,Food Processing,thin_file_good,0.8,9,196.4,0.138,27.1,18,1,1.0,0.121,"[408883.0, 568954.0, 513477.0, 650569.0, 612150.0, 474051.0, 648382.0, 514215.0, 502346.0]",0.016,8489.0,1974.0,5990.0,45,757.0,5.2,5573976.0
MSME018,Food Processing,thin_file_risky,0.9,10,201.8,0.145,29.26,18,0,0.41,0.33,"[531169.0, 725182.0, 400103.0, 618600.0, 535709.0, 559775.0, 337532.0, 202028.0, 124594.0, 239980.0]",0.097,7901.0,2164.0,7140.0,31,624.0,11.5,4249921.0
MSME019,Plastics & Polymers,established_stable,6.8,28,225.9,0.08,18.07,60,1,0.96,0.183,"[558881.0, 603498.0, 575967.0, 756802.0, 597043.0, 774515.0, 789863.0, 667392.0, 572024.0, 655332.0, 599610.0, 811892.0]",0.025,8244.0,761.0,12483.0,53,724.0,5.3,4071895.0
MSME020,Paper & Packaging,thin_file_good,0.5,6,298.7,0.091,27.18,50,1,0.93,0.114,"[814071.0, 818058.0, 873037.0, 746056.0, 859788.0, 862733.0]",0.02,19267.0,1705.0,11046.0,28,744.0,8.9,717322.0
MSME021,Textile Garments,established_stable,8.6,7,91.9,0.116,10.66,3,1,0.86,0.138,"[204812.0, 190385.0, 232147.0, 277084.0, 257932.0, 243956.0, 231066.0]",0.016,2462.0,194.0,2465.0,35,781.0,10.2,2119106.0
MSME022,Engineering Mfg.,established_declining,9.1,33,239.7,0.113,27.09,43,0,0.69,0.33,"[609363.0, 493907.0, 924255.0, 925553.0, 710409.0, 574229.0, 824892.0, 703921.0, 333943.0, 626603.0, 731314.0, 516141.0]",0.09,11499.0,1546.0,6357.0,40,691.0,16.5,5182525.0
MSME023,Plastics & Polymers,established_declining,13.4,6,292.6,0.081,23.7,60,1,0.79,0.308,"[359355.0, 484033.0, 742874.0, 742297.0, 1104114.0, 917781.0]",0.103,12223.0,1173.0,17475.0,26,666.0,15.0,8117031.0
MSME024,Leather Goods,established_declining,3.4,15,43.7,0.105,4.59,15,1,0.76,0.398,"[119757.0, 90524.0, 202623.0, 109959.0, 135348.0, 143576.0, 92714.0, 137890.0, 87759.0, 92833.0, 178794.0, 73647.0]",0.108,1610.0,532.0,1730.0,34,670.0,9.0,360296.0
MSME025,Retail/Trade,established_declining,4.0,14,287.2,0.19,54.57,60,1,0.6,0.365,"[384966.0, 292770.0, 912106.0, 773402.0, 1528215.0, 837409.0, 1378282.0, 487351.0, 960119.0, 888197.0, 572593.0, 977602.0]",0.117,2234.0,2534.0,0.0,49,664.0,7.3,7728524.0
MSME026,Chemicals,thin_file_good,0.5,6,168.3,0.102,17.17,51,1,1.0,0.082,"[502953.0, 462169.0, 478598.0, 459946.0, 482889.0, 447121.0]",0.016,8698.0,1121.0,9053.0,54,778.0,5.8,2838400.0
MSME027,Engineering Mfg.,thin_file_good,1.4,16,141.2,0.072,10.17,60,1,0.87,0.057,"[348954.0, 404661.0, 395455.0, 385266.0, 401962.0, 407741.0, 338913.0, 315599.0, 323978.0, 303691.0, 327366.0, 336299.0]",0.0,5432.0,1274.0,4223.0,41,748.0,8.0,1827101.0
MSME028,Paper & Packaging,established_stable,13.1,11,143.4,0.07,10.04,35,1,0.89,0.19,"[282243.0, 410830.0, 395289.0, 431679.0, 363886.0, 371337.0, 332009.0, 336198.0, 312189.0, 179831.0, 149704.0]",0.018,9235.0,860.0,5156.0,52,680.0,15.8,2663450.0
MSME029,Retail/Trade,thin_file_good,1.3,11,277.3,0.173,47.97,60,1,0.96,0.082,"[718407.0, 838011.0, 857345.0, 897269.0, 892019.0, 845640.0, 666374.0, 741453.0, 674297.0, 630098.0, 836371.0]",0.018,3302.0,2451.0,0.0,44,712.0,5.2,5765861.0
MSME030,Leather Goods,thin_file_good,0.8,9,21.1,0.101,2.13,10,1,0.88,0.138,"[44870.0, 55902.0, 54196.0, 51228.0, 65563.0, 61831.0, 41395.0, 50302.0, 55117.0]",0.005,728.0,225.0,847.0,44,755.0,8.9,428934.0
